1403) Scaler: None, classifier: SGD-ei-n--1, mean: 0.27685248045028404, class wrong: [9, 195, 144, 54]
780) Scaler: Robust, classifier: SGD-sei-l2--2, mean: 0.27713447682703096, class wrong: [617, 77, 127, 24]
484) Scaler: MinMax, classifier: SGD-sei-e--2, mean: 0.2784820400275624, class wrong: [490, 83, 146, 41]
1393) Scaler: None, classifier: SGD-sl-l2--1, mean: 0.27943764001280885, class wrong: [298, 134, 145, 54]
1347) Scaler: None, classifier: SGD-ei-l2--4, mean: 0.2794640838944503, class wrong: [4, 195, 146, 54]
458) Scaler: MinMax, classifier: SGD-hu-l1--6, mean: 0.27960870685060096, class wrong: [0, 195, 146, 54]
1342) Scaler: None, classifier: SGD-hu-l1--4, mean: 0.2797301722375355, class wrong: [640, 96, 53, 54]
465) Scaler: MinMax, classifier: SGD-sl-e--6, mean: 0.27985907138266936, class wrong: [375, 195, 114, 8]
1355) Scaler: None, classifier: SGD-ei-n--4, mean: 0.280892500525762, class wrong: [544, 95, 146, 54]
1435) Scaler: None, classifier: SGD-ei-n-1, mean: 0.28264195407438397, class wrong: [368, 78, 99, 54]
469) Scaler: MinMax, classifier: SGD-sl-n--6, mean: 0.28290168890423406, class wrong: [558, 153, 55, 54]
1151) Scaler: Standard, classifier: SGD-ei-n-2, mean: 0.28386566480064823, class wrong: [332, 189, 119, 39]
185) Scaler: MaxAbs, classifier: SGD-sl-n--2, mean: 0.2853256199028688, class wrong: [312, 131, 141, 47]
158) Scaler: MaxAbs, classifier: SGD-hu-l1--6, mean: 0.2857352589295046, class wrong: [640, 62, 146, 41]
1428) Scaler: None, classifier: SGD-sei-l2-1, mean: 0.2860433605604722, class wrong: [575, 184, 128, 18]
758) Scaler: Robust, classifier: SGD-hu-l1--6, mean: 0.28723677114088153, class wrong: [453, 150, 136, 38]
1380) Scaler: None, classifier: SGD-sei-l2--2, mean: 0.2885247492863162, class wrong: [549, 195, 14, 47]
755) Scaler: Robust, classifier: SGD-ei-n--4, mean: 0.2885708422699516, class wrong: [518, 188, 96, 39]
204) Scaler: MaxAbs, classifier: SGD-sei-n--1, mean: 0.2887764625504951, class wrong: [437, 145, 131, 46]
166) Scaler: MaxAbs, classifier: SGD-hu-e--6, mean: 0.2888051532347611, class wrong: [640, 195, 138, 7]
193) Scaler: MaxAbs, classifier: SGD-sl-l2--1, mean: 0.28958185453708485, class wrong: [634, 124, 146, 24]
